tweet_id	sentiment	content
1960158571	__sentiment__worry	is so sick of myself + my life  i'm never going to be as good i want + need to be. xoxoxo &lt;/3
1751360171	__sentiment__happiness	Yummy yum-cha for mother's day with mum, dad, arcel and egg-pants  yuuuuuum  http://twitpic.com/4w65x
1966273801	__sentiment__sadness	@wesleyadamquinn i missed the chicago show  boo me.
1963368138	__sentiment__relief	@XavierMathews not sexy with 2 tubes sticking out of my stomach  but thanks !
1966399228	__sentiment__neutral	@1critic and Boat is dining Bones in Peru - double
1965337023	__sentiment__worry	@ebrettrubin i dont get one? fine! i say texting is way more meaningful than twittering
1963499556	__sentiment__surprise	Jamies Free Views Dead
1694510508	__sentiment__fun	@abledragon The geek in me won.  I am building my own photoblog theme...
1694813761	__sentiment__happiness	@WestEndActress It's well good!!
1961964001	__sentiment__love	Had a fantastic day with an amazing girl! Just wish Sara didn't have to go home.  #fb
1965087479	__sentiment__hate	Just when I thought albany couldn't any worse my ao's leave me
1960516511	__sentiment__sadness	Bummer... I missed Taylor Swift on the Today show!  Those were my only plans for the day!!!
1751431855	__sentiment__neutral	@grabrielRossi which one? On Sportv ? Will connect righ the way
1965092563	__sentiment__worry	Not  looking forward to next   wednesday at all
1963701075	__sentiment__worry	First Natalie and now little Holly. This is mean
1753400643	__sentiment__love	loving my new tv
1694258788	__sentiment__neutral	May the 4th be with you all
1751854438	__sentiment__hate	@mahmood *cough* star trek *cough*
1752749871	__sentiment__worry	@DMBwine yes - I'm having my usual battle with my bed. Bed is winning, so far  How are you chick?
1964149450	__sentiment__relief	wow, i broke my toe today on a stupid piece of concrete!  LAME! job searching then sight seeing with Brittany.
1957319833	__sentiment__worry	awwww, writing my resume's too difficult XD how do i tell them i've taken 10 different jobs and quit them within the span of two months?
1751573126	__sentiment__neutral	Otw my to church..
1964238473	__sentiment__sadness	i don't even want to go to the store to get ice cream.  i wasted a cute outfit on... sitting on my ass on twitter!!
1694492299	__sentiment__enthusiasm	Yay for bank holidays
1751106743	__sentiment__worry	Nyappy mother's day to your mom's.
1961170661	__sentiment__sadness	@Alice286 lucky girl!!! I work all day tomorrow! and maybe even Monday!!
1694647099	__sentiment__happiness	Happy Star Wars Day  Im going to make some pasta get showered and dressed and then watch some films. I like days off. I have 3 days off
1963530331	__sentiment__sadness	@Anjeebaby Snap. I'm the same with any reality show. Watch the first and I'm hooked   Very sad
1752590550	__sentiment__happiness	@alphonso I'm in SF right now
1753650269	__sentiment__happiness	Beer pong  at 6am  with jess
1693975803	__sentiment__love	@eishbo0 you can do it
1962742981	__sentiment__happiness	@raenewman you called me? didn't get that.  nest time for sure. maybe i'll come to LA soon. i hella wana go to Disneyland.
1962219911	__sentiment__relief	this chipotle line is out the door! but I really want it!!
1753617124	__sentiment__worry	Indo Girl in Thai Traditional Clothes being object for tourist at Wat Arun
1962138663	__sentiment__surprise	@LadyLogan awwwwww i wish her to be safe while shes gone n hugs to u must of been hard to say goodbye
1965554173	__sentiment__love	@allenrob23 ..people you love.... wait i am not there
1960559262	__sentiment__sadness	@AndresHenriquez thanks for the #ff shoutout -you stuck an extra e in my username tho, so the link doesn't work
1961033997	__sentiment__worry	@KMON3Y LOL well these girls didnt!!! And my girl made me tip the lady and she put her boobies in my face
1751713662	__sentiment__fun	Go Canada they made Nikkie Payne #1 comic well she is soo yeah but she is only funny to pervs or teens or people in my family
1694255291	__sentiment__worry	@Moni7D well then take your sexy ass to sleep then foo.  how as your weekend mami?
1753216045	__sentiment__sadness	aww thats wikid, i need to book myne again sooon  miss you to lovely!! im off ned some brekkie.. speak soon dudde xxx
1753804027	__sentiment__love	happy mom's day
1694667832	__sentiment__hate	i hate the bus...any donations toward my car fund?
1964582577	__sentiment__neutral	@RaemonVip  I will. tell him I said happy birthday tomorrow too. is you talking about raymond?
1753274021	__sentiment__love	@ZnaTrainer Ahhh Music to my ears!
1694456331	__sentiment__love	s/s aus fshionwk- zimmermann,illionare,dhini + gail sorronda,ROMANCE WAS BORN,lisa ho,CASSETTE SOCIETY-loved the tutu, balmain ispired?
1694403479	__sentiment__surprise	@taylorswift13 your in london?   are you doing any shows here?
1957580027	__sentiment__neutral	Ah this is getting to me
1753008415	__sentiment__worry	has just figured out his username and password for his twitter account
1751322487	__sentiment__neutral	eat it caps.  3-2
1695846725	__sentiment__neutral	@sunnyjamiel sunny, I'm a workin' on it. It's very much in progress! Will let you know when it's up
1694605987	__sentiment__love	I need a break... PFFF... Work Sucksss Will be in Myrtle Beach SC in 45 days...  things like that make me soooo happy woeiwoeiwoei
1751680914	__sentiment__neutral	@JonathanRKnight http://twitpic.com/4w9h2 better in person had to send u this, I feel like mouse from &quot;The American Tail&quot; . Over in RI!
1960816877	__sentiment__worry	@thinkgeek Aw, man!
1966292599	__sentiment__neutral	@jordanlyn  Can we turn back time, make it so you didn't hurt your knee so bad.. :'( and then you can come to mine and never be ignored??
1694328359	__sentiment__happiness	@fanboy_uk Yeah, but it's Myst!
1962908347	__sentiment__sadness	running errands with geeta... feeling like i have the plague
1694437324	__sentiment__happiness	seriously. increasingly good nights. stoked on life! couldn't be happier  #goodnight
1694089030	__sentiment__neutral	My Chemical Romance Official Sodahead Profile  http://www.sodahead.com/mychemicalromance/
1751397009	__sentiment__neutral	@amandavp yea.. I will    haha
1753854588	__sentiment__neutral	suivez moi  (=  follow me everybody
1752320414	__sentiment__fun	@jessiemona mama the boys gon be sweating her hard in Pre K  lol muah
1753468635	__sentiment__happiness	@ALOliver I am!  going on a hike today!
1694091353	__sentiment__worry	@SchoolBoyQ L0l uhm; you need to just wife up mary jane cuz that's all you talk about!
1695884164	__sentiment__fun	@Marvel - Does the 1st show count? That would be the midnight show Thurs night/Fri morning
1752532090	__sentiment__love	@shoshanabean im following because of @conorclancy  yaaaaaay conor!
1695164567	__sentiment__neutral	Jacqueline Wilson day on CBBC
1964663285	__sentiment__worry	@receptiongal  hope your day gets better soon!!
1965478565	__sentiment__neutral	@tarneisha boo  you can come over and we'll watch telenovelas and braid each others hair.
1753198429	__sentiment__love	With My Boy Still  He's everything to me
1753663484	__sentiment__enthusiasm	@masterballerina yeah, it's all teased up into this boofy bit...i'm buying red hair extensions btw
1963642518	__sentiment__sadness	Ewwwy. Just did campus cleanup for community service.
1961247981	__sentiment__hate	@Natalie_McLife yeah that is the one thing i hate about tweetdeck
1751107688	__sentiment__happiness	@digital_geisha @savasavasava  For reals. It's lovely being around someone so refreshingly analog in his interests
1965933623	__sentiment__worry	there is poor lost duck outside of Olive Garden. that makes me sad
1958128132	__sentiment__sadness	@ShesElectric_ i'm in bed sick atm-been sick since yesterday   hru hun?
1695375231	__sentiment__fun	radianborge is learning the ways of being the padre de pamilya   go go go borgie!
1965515178	__sentiment__worry	@jesamine Here's a more appropriate @ tweet... is everything ok  Your last 3 days of tweets don't paint a good picture :-C
1695190524	__sentiment__happiness	@NadavS Cant wait to do some of those things
1963001634	__sentiment__sadness	I'm so depressed right now. IDK...
1965531130	__sentiment__worry	@hogaan can you stop working so i can have someone to play with !
1693997413	__sentiment__neutral	@gawd0r Yeah, my dad calls me Taltal, but it was taken on AOL back in 96, so I added a K for my last name, coincidence is Tal Talk.
1964155762	__sentiment__anger	My throat is on fire
1963809959	__sentiment__sadness	It's so sad  http://bit.ly/b8jTH  I love Kelly! &lt;3
1962854365	__sentiment__hate	this week has been awful.
1751285985	__sentiment__enthusiasm	@LeslieIN u can see I just twitted them if its the real xmsirius that is. Let me know any other contact info. Lets transmit this!
1752020941	__sentiment__happiness	@Samantha797 Yay! Tell her I said congrats
1957421741	__sentiment__worry	@weelissa p.s. Dead like me was awsome. Loved that show  missed the last 2 episodes tho ?
1695620803	__sentiment__worry	@jcdietrich Same  also trying to get my house ready to sell... I can't believe how much crap I own !
1965936730	__sentiment__neutral	Has got the slow cooker going, now just to get ready for work
1961256717	__sentiment__sadness	Screw it goin back to bed,,ill just go tomorrow ,,,,,kinda sad
1694090851	__sentiment__neutral	@charelblessed haha, it's okay to be different!
1966192416	__sentiment__worry	I have nacho chips...but no cheese.
1965695709	__sentiment__sadness	found out my &quot;friend&quot; isnt actually. but hey shit happens.
1753711210	__sentiment__empty	i want a top that says ' www.bilko22.com '
1753195381	__sentiment__neutral	@FunkShoi You can save it for next time!!   ? http://blip.fm/~5z2sv
1962768436	__sentiment__worry	I'm finished 3rd year. Moving onto 4th year on Monday. It's soooo scary. This time next year I will be finished my standard grade exams
1753384327	__sentiment__worry	@johncmayer if ur as awesome as i think u are u would sooo write me back  a lil something   &lt;--- crossing fingers
1957064908	__sentiment__sadness	how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...
1753516405	__sentiment__fun	just finished watching my copy of the Twilight DVD. Ganda ng mga deleted and extended scenes.  http://plurk.com/p/svkch
1753096343	__sentiment__love	shes so cute when shes sleepy
1965266715	__sentiment__neutral	@mitchelmusso do you have an england saynow number? Because i cant call the us one
1962998161	__sentiment__neutral	@dealseekingmom No problems here
1964732164	__sentiment__neutral	is so bored
1695883580	__sentiment__sadness	@kurtismarsh Too far to go unless the prize is in the millions.  We know who wins
1957141622	__sentiment__sadness	@IvanaE i love it to.. but i knw there gna cut stuff out on tv
1753757542	__sentiment__fun	summer clothes panic over..I see rain clouds !!  still going swimming though..I'm feeling in a holiday mood
1696177564	__sentiment__surprise	feels the same way about cherry-flavored items as Shannt does about grapes. Strange, but true.
1753384073	__sentiment__sadness	@KiwiLucy ahhh ;) I know who wins the entire thing, I TRY to avoid these things but it never works
1694930490	__sentiment__happiness	@FutureClassics Ben and Jerry...yummmmy!!!
1694510983	__sentiment__happiness	exams. thennn some sexy time.
1965821820	__sentiment__worry	&quot;your true theatre calling? - musical theatre actor&quot;  i wish :'( xxx
1752287219	__sentiment__love	She is all I can ever think about.  http://twitpic.com/4wg12
1695885786	__sentiment__surprise	oh yea mspacers my boy just hooked up my page  it looks kewl at least i think so and it only took him 5 minutes www.myspace.com/missmickey
1964146337	__sentiment__worry	@3spur I work at Schneider Electric, but not much longer. They are sending our jobs to Mexico
1965851069	__sentiment__worry	@mitchelmusso I kept calling and calling, but never got through
1752896523	__sentiment__worry	has anyone else seen this? the @twitter DM notification email says &quot;reply on we web.&quot; i am all for cool accents, but it's weird online
1693977967	__sentiment__surprise	@IMBASE k its 3 slices left
1965557152	__sentiment__sadness	is disappointed to learn Newark, OH cancelled their july 4 fireworks due to the economy
1964699067	__sentiment__sadness	Shipwrecked all weekend  license wasn't suspended, it got cancelled. Can't take the risk driving and no one lives near me
1961092033	__sentiment__sadness	this phyllis hyman unsung story is so SAD
1752053364	__sentiment__neutral	About to hit the hay. (who came up with that?) goodnight world and all those who inhabit it
1963645711	__sentiment__fun	I want it to be summer. NOW. why is it sprinkling STILL!?!?
1963728060	__sentiment__worry	sees the finish line disappearing in a plethora of emails!!!    WAH!
1962231573	__sentiment__worry	Yorks V Lancs on the telly. Not going too well for Yorkshire.
1695964618	__sentiment__fun	pilot to co-pilot baby we burnin' up   /i cannot stress how much this line works.
1753417931	__sentiment__neutral	@bella_b I met @jonbreisnes at EPIC - he said you were at SS Coffee... I thought he just meant sitting there drinking a lot of coffee
1753774675	__sentiment__surprise	@bowrainbow at Le mont's door ..it's closed maybe they are too rich  passed pairung as well
1965829316	__sentiment__empty	@jollyassjerk it's month end  I'm here till 11
1961282376	__sentiment__anger	Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
1752474631	__sentiment__relief	just got out of prom, it was fun  off too after prom text me
1963792355	__sentiment__hate	damn it...Margie said she couldn't share the info on who killed Evil Eddy with me   She wanted my info again, gave it to her
1963941591	__sentiment__sadness	@lil_kimmeh Me too, I miss it.  I, however, will #humpthestump for the rest of my life.
1694367164	__sentiment__happiness	@Punisher5643 You Got Twitter Yayy  xxx
1753584516	__sentiment__neutral	Nice sunny day
1694512866	__sentiment__happiness	@aquapunk @_Mintyfresh Thanks very much!!
1694588734	__sentiment__worry	collage. what is feminism?
1751036038	__sentiment__sadness	im joining twitter  lol
1963201413	__sentiment__happiness	just hanging around the house. Thank god its friday. With nina &amp; @missmarissxox later and working on a global project
1965070096	__sentiment__fun	@osandisays dude...come to amel larrieux with me tonight...errybody fakin!
1965923222	__sentiment__happiness	@ToxicSociopath awww. well before we know it youll be back visiting XD we will hang out constantly and have another heartbreaking goodbye
1752564401	__sentiment__worry	Happy mother's day to all mothers here!
1962884839	__sentiment__neutral	@sugarsharrk Hey I was scared last night at 3:17 because of you... and I had several bad nightmares
1753788104	__sentiment__hate	Huh, another ScarePoint coding Sunday
1753666245	__sentiment__love	@Mrsdaughtry Happy Mothers Day!
1694053690	__sentiment__neutral	@blogviet Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy
1694035994	__sentiment__neutral	@mcosare FIL 461 with cool people like me
1696217218	__sentiment__surprise	@unmarketing Certainly not Cheers than, huh?
1961650030	__sentiment__neutral	I found out thro mama
1695512095	__sentiment__happiness	@geerlingguy http://tinyurl.com/dlqo2p is a good one, nice
1753903334	__sentiment__neutral	oh ok i always wondered how that worked. i only have the top of my ear done. i dont think i could get anything else pierced
1957133079	__sentiment__neutral	Damn, hi Facebook ? what's wrong with you ? can't add photos
1961038032	__sentiment__neutral	honestly i cannot figure this twitter thing out
1960753118	__sentiment__sadness	pengen nonton Friens of mine comeback show di prost beer house kemang besok.. tapi ga bisaaaaaaaaaa..
1961541251	__sentiment__sadness	my tummy hurts
1963371198	__sentiment__worry	my entire body hurts.  shower, hot tea and tv please..
1963641275	__sentiment__neutral	@SEOGoddess thanks I'll check it out! i'll be staying a Thursday night though
1753117031	__sentiment__neutral	everyone should listen to Hadouken. they're fun
1964838903	__sentiment__sadness	Well school's finally over and idk but I'm sad  I'll miss my teachers. Goodbye Mrs R. and Mr. Collister
1961151587	__sentiment__worry	Yay playing a show tonight! Boo it's gonna soggy and I'm at work right before playing
1961416052	__sentiment__worry	i look like crap right now  im very fucking moody to  *Shooting Star*
1694090164	__sentiment__relief	But on the bright side...no school
1961998117	__sentiment__sadness	@dutchraymond yeah I didn't realize how bad it all was till now
1751360127	__sentiment__love	I love my hair blowin in the wind
1753584606	__sentiment__worry	YES. and then they should in non test conditions!
1961741398	__sentiment__neutral	@thegoodhuman
1750963939	__sentiment__worry	@mamapigeon I be ok, you?
1962381380	__sentiment__surprise	@katarinasmama it was WAY too fast
1694162581	__sentiment__neutral	@alternatefinch No, it's people you are recommending that others follow, like followfriday, only with pics!
1960953863	__sentiment__worry	@KarenEJones -dont know if u herd but queensland is havin it bad they have floods and in this weather, i want to help but i cant
1695882869	__sentiment__empty	@DeezyG But Chevy &amp; Chrysler may soon be owned by the Italians, and they're not Communist
1752320875	__sentiment__love	Mmmmmmm. I love Espresso......the app, that is. I guess the real thing helps me work efficiently too
1957671446	__sentiment__neutral	I don't think the Master Cleanse was intended for travelers  feeling gross....
1962238521	__sentiment__worry	im hungry.due to last night's dinner..or lack there of.. someone take care of me
1962387165	__sentiment__worry	@mileycyrus http://twitpic.com/5ut6j - Poor Thing
1960457038	__sentiment__neutral	@HockeyGal78 yeah back to work  I get out at 3:30 so it's not that bad
1961093731	__sentiment__happiness	This is my anthem right now.... don't leave me high and dry.  ? http://blip.fm/~79fcr
1750896666	__sentiment__fun	@__Jasper_Hale__ *Laughs* that's because I like winning
1961868327	__sentiment__worry	@ArnaudJacobs i'm still such a newbie, but i dont know what i would do without twitter!!
1960143056	__sentiment__worry	Mel best hurry up back from asda i'm so hungry
1751716420	__sentiment__love	going to bed. i love the jonas brothers!! the last time me and megan were together was the weekend of the premiere of JONAS!! -lauryn &lt;33
1966191298	__sentiment__hate	@joshhebert yeah bit it is overheating a bit and the AC died.
1960809900	__sentiment__worry	@SquishT77 So sorry to hear about your mum.
1753599958	__sentiment__worry	@vennsoh Oh good, this thing is viral now
1963752431	__sentiment__neutral	on my way to driver's training
1696045692	__sentiment__worry	Back at it after a weekend of working in the yard. Didn't open the laptop once, and I'm thankful.
1753139135	__sentiment__love	@creamspyder  thanks  you've been quiet lately!
1957638643	__sentiment__neutral	@assrocket You must be scared to be trolling here. You guys are so sad.   #tcot #right
1965377929	__sentiment__worry	http://twitpic.com/67rcp - Another one...those were taken at 3 am MET! U see I have a real sleeping disorder
1962527743	__sentiment__worry	ough out of the shower and my toes feel horrible in my socks i think they are still a bit wet
1956989601	__sentiment__hate	@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1962142469	__sentiment__worry	Pretty sure I'm sat on the wrong train going the wrong way... Bah!
1963302968	__sentiment__happiness	Just one of those days.... I pray it will get better..
1957246875	__sentiment__worry	i pulled a muscle in my neck this morning just feels like its getting more sore
1694570849	__sentiment__love	@ExocetAU Hey lovely.. hope you had a good day  Thanks for an awsome night and teaching me how to put together a tie...hahaha
1752350853	__sentiment__neutral	Shakedown Street!!!
1963342994	__sentiment__love	if i had one wish it would be for my friend J to not have to work
1962371882	__sentiment__neutral	Just got notified my podcast was accepted into iTunes. http://budurl.com/SBit Of course I then realized it was miss formated  Fixed now.
1752159225	__sentiment__worry	can't wait to see those pics @yikes77
1751104805	__sentiment__happiness	@a_double as if there are any other kind  http://myloc.me/Fkl
1964327210	__sentiment__neutral	Jus got done swimming! Soon ima need to stay outta the sun
1753009615	__sentiment__worry	@pabloest beer from japan.  google it
1963152487	__sentiment__sadness	Also, WHERE IS MY TOY STORY 3 TEASER CARMIKE 14? YOU SAID THERE WOULD BE TOY STORY 3!  Movie theater fail
1962403627	__sentiment__hate	This is getting on my nerves. I cant change my pic
1961257565	__sentiment__happiness	Nt able to follow anyone  friendorfollow.com here i come!!! #itsucks
1962866298	__sentiment__sadness	Aww @danbharris is getting married, congrats to him and his new wife! Now I miss the WN Weekend people
1965719354	__sentiment__surprise	@ItsPrecious that's meAn
1962995628	__sentiment__sadness	what the fuck...ahaha i hate my life sometimes. why reply on only bad things  ..even if it wasn't bad and i was kidding but whatever! fml
1694792526	__sentiment__love	good morning twitter-ers  rise and shine,, just on my way to school
1965596589	__sentiment__sadness	can't set p my phone to twitter
1752591998	__sentiment__love	@RiChArD_Morgan_  which 1? There r2 that I love and want to share  i just wish I'd made them-
1753450380	__sentiment__happiness	10 Cutest Cat moments video - http://shrt.st/4ce - enjoy
1694126686	__sentiment__happiness	finally leaving this place! woohoo! school time!
1965315319	__sentiment__worry	@Kikirowr Aw not again!  Feel better soon bb!
1694952486	__sentiment__fun	had an eventful weekend and nice week off, looking forward to a final chill out day
1960511009	__sentiment__worry	My twitterberry wont work on my friends and me
1753649014	__sentiment__happiness	@AmyMeredithband amy meredith has a soccer team? well i also have news about soccer. my team won aswell!!  xx
1966176695	__sentiment__sadness	@wersching and I have to wait till January. Life is not fair!
1694400592	__sentiment__happiness	@lifeincyan Aren't randoms what it's about?!!!  I LOVE that it's Star Wars day - I didn't realise and I can't believe it's almost over!
1752591469	__sentiment__neutral	@Digooooo yeah yeah gd night then
1753838643	__sentiment__neutral	@alexandraxaxaxa Alright, I'm coming  get another spoon ;)
1964646661	__sentiment__worry	Back from the gym! I'm no expert or anything, but I'm pretty sure I am not going to be able to move tomorrow, maybe even in a few hours!!
1957312495	__sentiment__happiness	@pourmecoffee I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  http://post.ly/geb
1963813235	__sentiment__worry	@qcmartinez it's cloudy and damp over here too. i hope it doesnt rain for tonite's track meet  i'd hate to do interviews in the rain
1961818197	__sentiment__empty	just found out i have strep
1963093839	__sentiment__worry	Cucumbers. Mmm not so much ugh
1960572503	__sentiment__neutral	Looking out the window, beautiful blue sky, great forecast for the weekend - not good for cinemas
1961618615	__sentiment__worry	@KarenAlloy I cried like a baby when we had to put our cat down 2 years ago...  For tears of happiness watch this http://bit.ly/qLwbe
1957681220	__sentiment__surprise	i messed up my back/hip. it hurts so bad
1957611093	__sentiment__neutral	In Kelantan! Good to be (sort of) home! :pI'm guilt stricken after having that turtle egg.  Really. Won't do it again. Really.
1961964408	__sentiment__worry	Why are money problems so bad these days
1694311458	__sentiment__neutral	sarah_marie_711 two weeks will fly by
1752674667	__sentiment__relief	I'd like to thank my normally only randomly working internet for actually staying up from the moment I saw the tweet until now.
1961045980	__sentiment__sadness	@Lizzidoll I wish I was in va too
1966155283	__sentiment__surprise	Eli in the ER  they pricked his finger for blood sugar and he was trying not to cry http://twitpic.com/67z2q
1753518716	__sentiment__fun	@scottrmcgrew I know sleep is so over rated! who needs it, right!
1694089040	__sentiment__happiness	@DarryleP Am busy yes...But then always am. Hope you had a great time traveling.  Where did you go?  Welcome back!
1965647556	__sentiment__worry	@scavengerlor hey thought ud be on here most likely, im stressed out  i really dont know why  x
1965873102	__sentiment__surprise	Did it just start to thunder out of nowhere??
1957457789	__sentiment__worry	Whyyy am I still awake when I have to work at 8?! This is not good
1694034106	__sentiment__happiness	possessed beyond certainty that she has made the rite decision
1962697086	__sentiment__happiness	@SallyTraffic ermm, me me me!!
1961244960	__sentiment__neutral	@tyhra_renee @MzLadi_B Fa real Me n Shay been on the toilet all night Shlda knwn sumthin ws up whn they didn't crd us 4 our Scorpian bwl
1753484190	__sentiment__neutral	@christay0102 that sounds awesome..
1963552971	__sentiment__surprise	My son's first tooth came out but he left it at school
1695083279	__sentiment__happiness	14:14 .. someone is thinking of me  good luck to lynny and her tattoo ;)
1753467844	__sentiment__love	@bdeezy @PleasureNPain lol you guys are awesome
1964385799	__sentiment__love	@Jonasbrothers i canÃ¯Â¿Â½t choose one  i love all the songs on LV&amp;TT;bt if u like... Read More: http://is.gd/JkVF
1695767745	__sentiment__empty	@SmilinNursAnnie Good Morning Rock Star Nurse
1963907402	__sentiment__neutral	weblogamo up kardam ama moteasefane baz postesh kootah shod  albate khob chizi nadashtam ke begam
1956977624	__sentiment__worry	Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
1751954831	__sentiment__love	I love that my boyfriends loves my mac n cheese. he even took some to work with him
1966122021	__sentiment__surprise	@FattKiddBep i made a vid for you proving my skiLLs that you denied but my step dad said he'd disown me if i posted it ~   sowey
1963588952	__sentiment__worry	I'm so sad that Cage on Daisy of Love went home this week  him crying made me tear up a bit..
1752723099	__sentiment__sadness	@dailypep I'm sure I will cry at the most unopportunte (spelling?) moment!!
1957630903	__sentiment__worry	In trouble - I haven't finished reading Crow Road  Book Club's off for me today I'm afraid. Lazy mare.
1752700092	__sentiment__enthusiasm	@Sondra_ i guess we will wait &amp; see..
1966120930	__sentiment__sadness	My arms hurt
1695163872	__sentiment__enthusiasm	@avalanchelynn When you're driven to be in the theatre you develop a thick skin.  12 yo's been auditioning since she was 8, gotten 1 part.
1695547932	__sentiment__neutral	@hootsboots Don't worry, the bizarre will find you
1752564419	__sentiment__neutral	watching crimson tide and eating apple sauce.
1965542801	__sentiment__sadness	My net died so yeah....  I'm sad now
1963564126	__sentiment__happiness	@Kat_04071991 haaa awesome! i remember my brother got given woody, and i got upset cause i got buzz  but then i got both of them lmfao
1695313088	__sentiment__love	@dougiemcfly : http://tinyurl.com/c6tvz5 Germany loves you, haha.
1965965112	__sentiment__neutral	was late
1694346303	__sentiment__happiness	Good morning friends. Happy May Bank Holiday.
1751784620	__sentiment__love	today was a lovely day! I had fun with @sarzp and @harryv401 this evening!
1961835106	__sentiment__neutral	@markhoppus i'm upset because i couldnt get any tickets on the KROQ presale.
1753293629	__sentiment__surprise	Hella wow .  no doubt .
